,GiftId,trip_id
6365,6366,4
5435,5436,4
5541,5542,4
5518,5519,4
5501,5502,4
4937,4938,4
6029,6030,4
4970,4971,4
5015,5016,4
5034,5035,4
5123,5124,4
5192,5193,4
5195,5196,4
5239,5240,4
5302,5303,4
5320,5321,4
5459,5460,4
5473,5474,4
5494,5495,4
5514,5515,4
5622,5623,4
5814,5815,4
6108,6109,4
6152,6153,4
6286,6287,4
6294,6295,4
6453,6454,4
6489,6490,4
6578,6579,4
6585,6586,4
7146,7147,5
7790,7791,5
6714,6715,5
7815,7816,5
7205,7206,5
8132,8133,5
7389,7390,5
8077,8078,5
7886,7887,5
8003,8004,5
6930,6931,5
7127,7128,5
7011,7012,5
7631,7632,5
7413,7414,5
7627,7628,5
7070,7071,5
7910,7911,5
7239,7240,5
6781,6782,5
7391,7392,5
7140,7141,5
7053,7054,5
7037,7038,5
7884,7885,5
7957,7958,5
8063,8064,5
7975,7976,5
8075,8076,5
6785,6786,5
7537,7538,5
7984,7985,5
7581,7582,5
6846,6847,5
7471,7472,5
8012,8013,5
8123,8124,5
7264,7265,5
7849,7850,5
7480,7481,5
8193,8194,5
7349,7350,5
7959,7960,5
7173,7174,5
7430,7431,5
7460,7461,5
7619,7620,5
7483,7484,5
6741,6742,5
6766,6767,5
7059,7060,5
7163,7164,5
7219,7220,5
7253,7254,5
7255,7256,5
7284,7285,5
7310,7311,5
7437,7438,5
7455,7456,5
7688,7689,5
7761,7762,5
7788,7789,5
7846,7847,5
7924,7925,5
8038,8039,5
8089,8090,5
8098,8099,5
9574,9575,6
8800,8801,6
9430,9431,6
8263,8264,6
8639,8640,6
8626,8627,6
8696,8697,6
8791,8792,6
9121,9122,6
8356,8357,6
9051,9052,6
9235,9236,6
9119,9120,6
9531,9532,6
8201,8202,6
9436,9437,6
8915,8916,6
8329,8330,6
8556,8557,6
9036,9037,6
8327,8328,6
9049,9050,6
9508,9509,6
8931,8932,6
8428,8429,6
9453,9454,6
8453,8454,6
8656,8657,6
8544,8545,6
9306,9307,6
8741,8742,6
8920,8921,6
9035,9036,6
8713,8714,6
8895,8896,6
9108,9109,6
8228,8229,6
9147,9148,6
9378,9379,6
8971,8972,6
8826,8827,6
8850,8851,6
9040,9041,6
9428,9429,6
8693,8694,6
9282,9283,6
8352,8353,6
8393,8394,6
8441,8442,6
8492,8493,6
8573,8574,6
8602,8603,6
8715,8716,6
8728,8729,6
8790,8791,6
8837,8838,6
8878,8879,6
8953,8954,6
9050,9051,6
9080,9081,6
9081,9082,6
9128,9129,6
9143,9144,6
9219,9220,6
9275,9276,6
9325,9326,6
9337,9338,6
10120,10121,7
10333,10334,7
9596,9597,7
10041,10042,7
10720,10721,7
10713,10714,7
10746,10747,7
9825,9826,7
10330,10331,7
9816,9817,7
10328,10329,7
9753,9754,7
10806,10807,7
9900,9901,7
10822,10823,7
9946,9947,7
9817,9818,7
10714,10715,7
10423,10424,7
10922,10923,7
10595,10596,7
10604,10605,7
10325,10326,7
9916,9917,7
10085,10086,7
10511,10512,7
10126,10127,7
10196,10197,7
10158,10159,7
10610,10611,7
9823,9824,7
9652,9653,7
10302,10303,7
10177,10178,7
10267,10268,7
10334,10335,7
9850,9851,7
10087,10088,7
9648,9649,7
9678,9679,7
9694,9695,7
10495,10496,7
9739,9740,7
9882,9883,7
10044,10045,7
10134,10135,7
10214,10215,7
10225,10226,7
10230,10231,7
10246,10247,7
10279,10280,7
10303,10304,7
10385,10386,7
10403,10404,7
10541,10542,7
10559,10560,7
10756,10757,7
10772,10773,7
10858,10859,7
10954,10955,7
10964,10965,7
11604,11605,8
12204,12205,8
12092,12093,8
11436,11437,8
10972,10973,8
11051,11052,8
11570,11571,8
11364,11365,8
11042,11043,8
12292,12293,8
11905,11906,8
12275,12276,8
11907,11908,8
11903,11904,8
11423,11424,8
11281,11282,8
11714,11715,8
12028,12029,8
12190,12191,8
11971,11972,8
12544,12545,8
11580,11581,8
12071,12072,8
12375,12376,8
11800,11801,8
11471,11472,8
11505,11506,8
10979,10980,8
12269,12270,8
11425,11426,8
12480,12481,8
12029,12030,8
12444,12445,8
12171,12172,8
11508,11509,8
11923,11924,8
11256,11257,8
11506,11507,8
11922,11923,8
12482,12483,8
11149,11150,8
10987,10988,8
11297,11298,8
11313,11314,8
11322,11323,8
11389,11390,8
11397,11398,8
11431,11432,8
11546,11547,8
11733,11734,8
11779,11780,8
11791,11792,8
11830,11831,8
11893,11894,8
11896,11897,8
11957,11958,8
12224,12225,8
12276,12277,8
12311,12312,8
12404,12405,8
12433,12434,8
12446,12447,8
12550,12551,8
12575,12576,8
12587,12588,8
13248,13249,9
13950,13951,9
14095,14096,9
13603,13604,9
13419,13420,9
14382,14383,9
13484,13485,9
14332,14333,9
14315,14316,9
14141,14142,9
12782,12783,9
12645,12646,9
14337,14338,9
13723,13724,9
12837,12838,9
12598,12599,9
12588,12589,9
13849,13850,9
13073,13074,9
13952,13953,9
12978,12979,9
13698,13699,9
14182,14183,9
13822,13823,9
13956,13957,9
13405,13406,9
14075,14076,9
12597,12598,9
13899,13900,9
13497,13498,9
13343,13344,9
13537,13538,9
13195,13196,9
13815,13816,9
13687,13688,9
14066,14067,9
14357,14358,9
13936,13937,9
13128,13129,9
13998,13999,9
12903,12904,9
13632,13633,9
13406,13407,9
13206,13207,9
13897,13898,9
13013,13014,9
14430,14431,9
13525,13526,9
13606,13607,9
13989,13990,9
13166,13167,9
13846,13847,9
13594,13595,9
13261,13262,9
12627,12628,9
12633,12634,9
12636,12637,9
12731,12732,9
12969,12970,9
13044,13045,9
13160,13161,9
13173,13174,9
13338,13339,9
13359,13360,9
13366,13367,9
13396,13397,9
13456,13457,9
13474,13475,9
13683,13684,9
13763,13764,9
14047,14048,9
14082,14083,9
14087,14088,9
14104,14105,9
14149,14150,9
14250,14251,9
14255,14256,9
14308,14309,9
14415,14416,9
15703,15704,10
14447,14448,10
15420,15421,10
14924,14925,10
14626,14627,10
14821,14822,10
14719,14720,10
15355,15356,10
14450,14451,10
15726,15727,10
15415,15416,10
15671,15672,10
15507,15508,10
15909,15910,10
14594,14595,10
14841,14842,10
15601,15602,10
14892,14893,10
14456,14457,10
15731,15732,10
14666,14667,10
14522,14523,10
14843,14844,10
16001,16002,10
15603,15604,10
15835,15836,10
15873,15874,10
14964,14965,10
16067,16068,10
15267,15268,10
14561,14562,10
15487,15488,10
14468,14469,10
14931,14932,10
15780,15781,10
15061,15062,10
15241,15242,10
15556,15557,10
15667,15668,10
14949,14950,10
14795,14796,10
15555,15556,10
15211,15212,10
14779,14780,10
14482,14483,10
15818,15819,10
15936,15937,10
14751,14752,10
14461,14462,10
14484,14485,10
14499,14500,10
14623,14624,10
14741,14742,10
14875,14876,10
14981,14982,10
14992,14993,10
15055,15056,10
15059,15060,10
15100,15101,10
15115,15116,10
15121,15122,10
15124,15125,10
15234,15235,10
15248,15249,10
15256,15257,10
15438,15439,10
15449,15450,10
15496,15497,10
15680,15681,10
15683,15684,10
15722,15723,10
15764,15765,10
15805,15806,10
15893,15894,10
16004,16005,10
16984,16985,11
17792,17793,11
17306,17307,11
16359,16360,11
16748,16749,11
17126,17127,11
16619,16620,11
16510,16511,11
16683,16684,11
16825,16826,11
17552,17553,11
16940,16941,11
17055,17056,11
17249,17250,11
16180,16181,11
17387,17388,11
16070,16071,11
16074,16075,11
17000,17001,11
16207,16208,11
17178,17179,11
17647,17648,11
16983,16984,11
17700,17701,11
16694,16695,11
17019,17020,11
17142,17143,11
17275,17276,11
16945,16946,11
16115,16116,11
17690,17691,11
17417,17418,11
17816,17817,11
17215,17216,11
17333,17334,11
16257,16258,11
17031,17032,11
17007,17008,11
16297,16298,11
16167,16168,11
16436,16437,11
16552,16553,11
17257,17258,11
16291,16292,11
16169,16170,11
16395,16396,11
16080,16081,11
16235,16236,11
16352,16353,11
16391,16392,11
16403,16404,11
16454,16455,11
16509,16510,11
16680,16681,11
16689,16690,11
16968,16969,11
17029,17030,11
17067,17068,11
17079,17080,11
17134,17135,11
17149,17150,11
17209,17210,11
17226,17227,11
17307,17308,11
17325,17326,11
17512,17513,11
17577,17578,11
17656,17657,11
17693,17694,11
17699,17700,11
17729,17730,11
17778,17779,11
18877,18878,12
18715,18716,12
17991,17992,12
18885,18886,12
19352,19353,12
18270,18271,12
18451,18452,12
18497,18498,12
19355,19356,12
19248,19249,12
18353,18354,12
18918,18919,12
18129,18130,12
19059,19060,12
18973,18974,12
17973,17974,12
18733,18734,12
18799,18800,12
18482,18483,12
17985,17986,12
18788,18789,12
18556,18557,12
18591,18592,12
19131,19132,12
18574,18575,12
18879,18880,12
19415,19416,12
18523,18524,12
19302,19303,12
19375,19376,12
18395,18396,12
19018,19019,12
18930,18931,12
19110,19111,12
18974,18975,12
19138,19139,12
19328,19329,12
19079,19080,12
18205,18206,12
18873,18874,12
18653,18654,12
18234,18235,12
19276,19277,12
17817,17818,12
18108,18109,12
18843,18844,12
18638,18639,12
19376,19377,12
18832,18833,12
19095,19096,12
17865,17866,12
17871,17872,12
18113,18114,12
18286,18287,12
18330,18331,12
18379,18380,12
18500,18501,12
18592,18593,12
18619,18620,12
18665,18666,12
18677,18678,12
18729,18730,12
18752,18753,12
18771,18772,12
18837,18838,12
18872,18873,12
18897,18898,12
18901,18902,12
18957,18958,12
19049,19050,12
19086,19087,12
19088,19089,12
19363,19364,12
19366,19367,12
19388,19389,12
19401,19402,12
19403,19404,12
20712,20713,13
20767,20768,13
20353,20354,13
19995,19996,13
19709,19710,13
19675,19676,13
20307,20308,13
20360,20361,13
20509,20510,13
19706,19707,13
20457,20458,13
20144,20145,13
20467,20468,13
19671,19672,13
19796,19797,13
20512,20513,13
19636,19637,13
20038,20039,13
20544,20545,13
19856,19857,13
20752,20753,13
20425,20426,13
20511,20512,13
20082,20083,13
20228,20229,13
19820,19821,13
19579,19580,13
19432,19433,13
20605,20606,13
19614,19615,13
19622,19623,13
20104,20105,13
20786,20787,13
19722,19723,13
19758,19759,13
20267,20268,13
19969,19970,13
19916,19917,13
20198,20199,13
20051,20052,13
19877,19878,13
19715,19716,13
19930,19931,13
19762,19763,13
19509,19510,13
19552,19553,13
19721,19722,13
19783,19784,13
19966,19967,13
20064,20065,13
20199,20200,13
20218,20219,13
20328,20329,13
20375,20376,13
20417,20418,13
20599,20600,13
20620,20621,13
20663,20664,13
20749,20750,13
21406,21407,14
21541,21542,14
21851,21852,14
21742,21743,14
22044,22045,14
20794,20795,14
20961,20962,14
21483,21484,14
20946,20947,14
21706,21707,14
21354,21355,14
21806,21807,14
21450,21451,14
21147,21148,14
21595,21596,14
21535,21536,14
22012,22013,14
20788,20789,14
21789,21790,14
21435,21436,14
21626,21627,14
21913,21914,14
21180,21181,14
21772,21773,14
21111,21112,14
20803,20804,14
20793,20794,14
21668,21669,14
22060,22061,14
21875,21876,14
21064,21065,14
21282,21283,14
21176,21177,14
20878,20879,14
21634,21635,14
20823,20824,14
21075,21076,14
20982,20983,14
22017,22018,14
21416,21417,14
21028,21029,14
21666,21667,14
21599,21600,14
22072,22073,14
21255,21256,14
22048,22049,14
22100,22101,14
20891,20892,14
21298,21299,14
21060,21061,14
22154,22155,14
20821,20822,14
20929,20930,14
21001,21002,14
21059,21060,14
21153,21154,14
21175,21176,14
21309,21310,14
21472,21473,14
21552,21553,14
21750,21751,14
21816,21817,14
21864,21865,14
21895,21896,14
21917,21918,14
22097,22098,14
22137,22138,14
22165,22166,14
22197,22198,14
22205,22206,14
22451,22452,15
22502,22503,15
22509,22510,15
22411,22412,15
22898,22899,15
22211,22212,15
23233,23234,15
22296,22297,15
22363,22364,15
22891,22892,15
23251,23252,15
23474,23475,15
22768,22769,15
24117,24118,15
23318,23319,15
22467,22468,15
23695,23696,15
22367,22368,15
23820,23821,15
23810,23811,15
22874,22875,15
22738,22739,15
23161,23162,15
22507,22508,15
24094,24095,15
24033,24034,15
23215,23216,15
23670,23671,15
22425,22426,15
23077,23078,15
23342,23343,15
23825,23826,15
23047,23048,15
23957,23958,15
22785,22786,15
22625,22626,15
22870,22871,15
23393,23394,15
22583,22584,15
23943,23944,15
22292,22293,15
23577,23578,15
23629,23630,15
22682,22683,15
23508,23509,15
22685,22686,15
22312,22313,15
23277,23278,15
22274,22275,15
22284,22285,15
22293,22294,15
22321,22322,15
22414,22415,15
22449,22450,15
22456,22457,15
22526,22527,15
22531,22532,15
22535,22536,15
22671,22672,15
22894,22895,15
22941,22942,15
23212,23213,15
23280,23281,15
23341,23342,15
23456,23457,15
23683,23684,15
23827,23828,15
23915,23916,15
24016,24017,15
24470,24471,16
25751,25752,16
24322,24323,16
26307,26308,16
24578,24579,16
25503,25504,16
25872,25873,16
25640,25641,16
24715,24716,16
26145,26146,16
25941,25942,16
25164,25165,16
25252,25253,16
25604,25605,16
24759,24760,16
25047,25048,16
25578,25579,16
24638,24639,16
26263,26264,16
24438,24439,16
25095,25096,16
25247,25248,16
24271,24272,16
26248,26249,16
24155,24156,16
24253,24254,16
26076,26077,16
25472,25473,16
26006,26007,16
25092,25093,16
26144,26145,16
25837,25838,16
24909,24910,16
25799,25800,16
24484,24485,16
26092,26093,16
26287,26288,16
24686,24687,16
26261,26262,16
26148,26149,16
25375,25376,16
24614,24615,16
25476,25477,16
26065,26066,16
26042,26043,16
25629,25630,16
25598,25599,16
24416,24417,16
25031,25032,16
24784,24785,16
24160,24161,16
24365,24366,16
24389,24390,16
24396,24397,16
24435,24436,16
24515,24516,16
24611,24612,16
24619,24620,16
24732,24733,16
24733,24734,16
24741,24742,16
24775,24776,16
24848,24849,16
25000,25001,16
25091,25092,16
25097,25098,16
25100,25101,16
25109,25110,16
25186,25187,16
25459,25460,16
25479,25480,16
25689,25690,16
25708,25709,16
25727,25728,16
25753,25754,16
25780,25781,16
25781,25782,16
25972,25973,16
26005,26006,16
26019,26020,16
26166,26167,16
26208,26209,16
26243,26244,16
26282,26283,16
26519,26520,17
27004,27005,17
27147,27148,17
26688,26689,17
27045,27046,17
26352,26353,17
27206,27207,17
26881,26882,17
26832,26833,17
26436,26437,17
27299,27300,17
27052,27053,17
26483,26484,17
27402,27403,17
27059,27060,17
27021,27022,17
27091,27092,17
27382,27383,17
27383,27384,17
27221,27222,17
27000,27001,17
26368,26369,17
27153,27154,17
27225,27226,17
27131,27132,17
26701,26702,17
27138,27139,17
26329,26330,17
26872,26873,17
27184,27185,17
27454,27455,17
26846,26847,17
26532,26533,17
26575,26576,17
26598,26599,17
26414,26415,17
27481,27482,17
26649,26650,17
26413,26414,17
27400,27401,17
26468,26469,17
26957,26958,17
27194,27195,17
26916,26917,17
26705,26706,17
26992,26993,17
26837,26838,17
26348,26349,17
26495,26496,17
26614,26615,17
26789,26790,17
26804,26805,17
26873,26874,17
26935,26936,17
26987,26988,17
26999,27000,17
27270,27271,17
27378,27379,17
27412,27413,17
27422,27423,17
27485,27486,17
28562,28563,18
28405,28406,18
28370,28371,18
27774,27775,18
27974,27975,18
27602,27603,18
28661,28662,18
28392,28393,18
28554,28555,18
27618,27619,18
27738,27739,18
28845,28846,18
28308,28309,18
27783,27784,18
27791,27792,18
27620,27621,18
28296,28297,18
27494,27495,18
28045,28046,18
27794,27795,18
28803,28804,18
27808,27809,18
28154,28155,18
27907,27908,18
28461,28462,18
28886,28887,18
27512,27513,18
28162,28163,18
28569,28570,18
28332,28333,18
27700,27701,18
28599,28600,18
27927,27928,18
27496,27497,18
28303,28304,18
27554,27555,18
28887,28888,18
28512,28513,18
28664,28665,18
28376,28377,18
27846,27847,18
27719,27720,18
27655,27656,18
28228,28229,18
28202,28203,18
27863,27864,18
27537,27538,18
28733,28734,18
28145,28146,18
28205,28206,18
27509,27510,18
27524,27525,18
27529,27530,18
27531,27532,18
27653,27654,18
27722,27723,18
28284,28285,18
28372,28373,18
28418,28419,18
28433,28434,18
28449,28450,18
28468,28469,18
28501,28502,18
28519,28520,18
28584,28585,18
28596,28597,18
28652,28653,18
28656,28657,18
28732,28733,18
28782,28783,18
28796,28797,18
28865,28866,18
29197,29198,19
30142,30143,19
29452,29453,19
29688,29689,19
29733,29734,19
29145,29146,19
29620,29621,19
29934,29935,19
29702,29703,19
29789,29790,19
29355,29356,19
29794,29795,19
29491,29492,19
28919,28920,19
29068,29069,19
29166,29167,19
29127,29128,19
29329,29330,19
29375,29376,19
29724,29725,19
28923,28924,19
30041,30042,19
29347,29348,19
30201,30202,19
29705,29706,19
29438,29439,19
29827,29828,19
29508,29509,19
29912,29913,19
29483,29484,19
30204,30205,19
29546,29547,19
30207,30208,19
29970,29971,19
28953,28954,19
30175,30176,19
29451,29452,19
29804,29805,19
28949,28950,19
29351,29352,19
29574,29575,19
29076,29077,19
29739,29740,19
29751,29752,19
29515,29516,19
29227,29228,19
29526,29527,19
29573,29574,19
29405,29406,19
29952,29953,19
28998,28999,19
29111,29112,19
29132,29133,19
29211,29212,19
29246,29247,19
29387,29388,19
29882,29883,19
30027,30028,19
30596,30597,20
31692,31693,20
31712,31713,20
30221,30222,20
30588,30589,20
30314,30315,20
30966,30967,20
31299,31300,20
31086,31087,20
31598,31599,20
30485,30486,20
31167,31168,20
31765,31766,20
30363,30364,20
30381,30382,20
31255,31256,20
31422,31423,20
30340,30341,20
31433,31434,20
30299,30300,20
31322,31323,20
31689,31690,20
31443,31444,20
30788,30789,20
30516,30517,20
31254,31255,20
31070,31071,20
30713,30714,20
31344,31345,20
30804,30805,20
31249,31250,20
30944,30945,20
30930,30931,20
31204,31205,20
30963,30964,20
30714,30715,20
30504,30505,20
31317,31318,20
30500,30501,20
30524,30525,20
31701,31702,20
31270,31271,20
30306,30307,20
31612,31613,20
30768,30769,20
30347,30348,20
31546,31547,20
31103,31104,20
30225,30226,20
30258,30259,20
30260,30261,20
30367,30368,20
30491,30492,20
30497,30498,20
30499,30500,20
30539,30540,20
30593,30594,20
30625,30626,20
30663,30664,20
30695,30696,20
30720,30721,20
30741,30742,20
30829,30830,20
30896,30897,20
31056,31057,20
31072,31073,20
31172,31173,20
31177,31178,20
31192,31193,20
31197,31198,20
31260,31261,20
31282,31283,20
31287,31288,20
31333,31334,20
31385,31386,20
31438,31439,20
31527,31528,20
31575,31576,20
31658,31659,20
31671,31672,20
31726,31727,20
31757,31758,20
31823,31824,20
31849,31850,20
32378,32379,21
33223,33224,21
32767,32768,21
32028,32029,21
32977,32978,21
33141,33142,21
32904,32905,21
32607,32608,21
32740,32741,21
31862,31863,21
31855,31856,21
32159,32160,21
32659,32660,21
33188,33189,21
32479,32480,21
33193,33194,21
32277,32278,21
32517,32518,21
33155,33156,21
33146,33147,21
31973,31974,21
31967,31968,21
32154,32155,21
32319,32320,21
32833,32834,21
31865,31866,21
31917,31918,21
32180,32181,21
31875,31876,21
33302,33303,21
33049,33050,21
32585,32586,21
32737,32738,21
32700,32701,21
33137,33138,21
32813,32814,21
32148,32149,21
33038,33039,21
32079,32080,21
32590,32591,21
33197,33198,21
33317,33318,21
32429,32430,21
32450,32451,21
32690,32691,21
32789,32790,21
31970,31971,21
32095,32096,21
32162,32163,21
32248,32249,21
32279,32280,21
32294,32295,21
32411,32412,21
32445,32446,21
32692,32693,21
32717,32718,21
32725,32726,21
32981,32982,21
32987,32988,21
32995,32996,21
33028,33029,21
33054,33055,21
33105,33106,21
33173,33174,21
33184,33185,21
33207,33208,21
33263,33264,21
33279,33280,21
33293,33294,21
33671,33672,22
34265,34266,22
34514,34515,22
34378,34379,22
33700,33701,22
34370,34371,22
34411,34412,22
34073,34074,22
33349,33350,22
34468,34469,22
33793,33794,22
34230,34231,22
34052,34053,22
33687,33688,22
34112,34113,22
34144,34145,22
33405,33406,22
34516,34517,22
34313,34314,22
34686,34687,22
33538,33539,22
34289,34290,22
34713,34714,22
34099,34100,22
33553,33554,22
33881,33882,22
34772,34773,22
33885,33886,22
33933,33934,22
33366,33367,22
34726,34727,22
33719,33720,22
33621,33622,22
33347,33348,22
34668,34669,22
34292,34293,22
34537,34538,22
34502,34503,22
34237,34238,22
33659,33660,22
33861,33862,22
34206,34207,22
34195,34196,22
33666,33667,22
33780,33781,22
34676,34677,22
33417,33418,22
33372,33373,22
33393,33394,22
33555,33556,22
33602,33603,22
33732,33733,22
33739,33740,22
33751,33752,22
33767,33768,22
33857,33858,22
33873,33874,22
33904,33905,22
33929,33930,22
33959,33960,22
33993,33994,22
34036,34037,22
34105,34106,22
34192,34193,22
34281,34282,22
34344,34345,22
34469,34470,22
34519,34520,22
34660,34661,22
34768,34769,22
35873,35874,23
36798,36799,23
37047,37048,23
35355,35356,23
36928,36929,23
34893,34894,23
36314,36315,23
36004,36005,23
36140,36141,23
36634,36635,23
34780,34781,23
35242,35243,23
35009,35010,23
35579,35580,23
35523,35524,23
35571,35572,23
35039,35040,23
36364,36365,23
34918,34919,23
36333,36334,23
36492,36493,23
36447,36448,23
35949,35950,23
35558,35559,23
36372,36373,23
36298,36299,23
35722,35723,23
35875,35876,23
34916,34917,23
35853,35854,23
35644,35645,23
35696,35697,23
35703,35704,23
36635,36636,23
36614,36615,23
37075,37076,23
35819,35820,23
36812,36813,23
35181,35182,23
36443,36444,23
36381,36382,23
34835,34836,23
34827,34828,23
36981,36982,23
34951,34952,23
35429,35430,23
35048,35049,23
34849,34850,23
35043,35044,23
34812,34813,23
34838,34839,23
34888,34889,23
35527,35528,23
35540,35541,23
35658,35659,23
35704,35705,23
35743,35744,23
35759,35760,23
35810,35811,23
36000,36001,23
36053,36054,23
36107,36108,23
36130,36131,23
36240,36241,23
36242,36243,23
36257,36258,23
36325,36326,23
36418,36419,23
36464,36465,23
36657,36658,23
36665,36666,23
36757,36758,23
36835,36836,23
36950,36951,23
36963,36964,23
36985,36986,23
36996,36997,23
37018,37019,23
37030,37031,23
37165,37166,24
37227,37228,24
37293,37294,24
38090,38091,24
37084,37085,24
37159,37160,24
37965,37966,24
37692,37693,24
38068,38069,24
37222,37223,24
37447,37448,24
37300,37301,24
37313,37314,24
37163,37164,24
37922,37923,24
37384,37385,24
37606,37607,24
38125,38126,24
37201,37202,24
37608,37609,24
38177,38178,24
37904,37905,24
37793,37794,24
38169,38170,24
38355,38356,24
37209,37210,24
37278,37279,24
37658,37659,24
37588,37589,24
37896,37897,24
37145,37146,24
38301,38302,24
38352,38353,24
37760,37761,24
37712,37713,24
38389,38390,24
37944,37945,24
37308,37309,24
37943,37944,24
37386,37387,24
38093,38094,24
38037,38038,24
38065,38066,24
37092,37093,24
37103,37104,24
37150,37151,24
37194,37195,24
37233,37234,24
37252,37253,24
37277,37278,24
37340,37341,24
37398,37399,24
37478,37479,24
37762,37763,24
37818,37819,24
37890,37891,24
37915,37916,24
38038,38039,24
38257,38258,24
38582,38583,25
38909,38910,25
39309,39310,25
38937,38938,25
39471,39472,25
38585,38586,25
39397,39398,25
39126,39127,25
38926,38927,25
38696,38697,25
39222,39223,25
39412,39413,25
39299,39300,25
38752,38753,25
39466,39467,25
38993,38994,25
38634,38635,25
38640,38641,25
39054,39055,25
38644,38645,25
38688,38689,25
39123,39124,25
39611,39612,25
39274,39275,25
39423,39424,25
38598,38599,25
39277,39278,25
38891,38892,25
38981,38982,25
38402,38403,25
39588,39589,25
39595,39596,25
38426,38427,25
38542,38543,25
38955,38956,25
39341,39342,25
38570,38571,25
38864,38865,25
39603,39604,25
39188,39189,25
39387,39388,25
39058,39059,25
39260,39261,25
39602,39603,25
38637,38638,25
38670,38671,25
38676,38677,25
38735,38736,25
38747,38748,25
38757,38758,25
38815,38816,25
38827,38828,25
38832,38833,25
38893,38894,25
38970,38971,25
39021,39022,25
39088,39089,25
39101,39102,25
39194,39195,25
39351,39352,25
39462,39463,25
39484,39485,25
40391,40392,26
40606,40607,26
40025,40026,26
39625,39626,26
40385,40386,26
40170,40171,26
41548,41549,26
40231,40232,26
40751,40752,26
40415,40416,26
40224,40225,26
40800,40801,26
40221,40222,26
40862,40863,26
41538,41539,26
40306,40307,26
40659,40660,26
40296,40297,26
39878,39879,26
39859,39860,26
40233,40234,26
41533,41534,26
